pagnr,zpsex,zpage,w1_q88,w1_q107,w1_q115,w1_q116,w1_q4,w2_q4,w1_q5x1,w2_q2x1,w1_q6x1,w1_q7,w2_q3,w1_q8,w1_q12,w1_q43,w1_q44,w1_q48x1,w1_q48x2,w1_q48x3,w1_q48x4,w1_q48x5,w1_q48x6,w2_q15,w1_q49,w2_q14,w1_q50,w1_q51,w1_quiz,w2_quiz,w1_q21,w1_q22,w1_q26x1,w1_q26x2,w1_q26x3,w1_q26x4,w1_q26x5,w1_q26x6,w1_q26x7,w1_q26x8,w1_q26x9,w1_q26x10,w1_q26x11,w1_q26x12,w1_q68x1,w1_q76x2,w1_q64x1,w1_q64x2,w1_q64x3,w1_q83x1,w1_q83x6,w1_q83x2,w1_q83x7,w1_q83x3,w1_q83x8,w1_q83x4,w1_q83x9,w1_q83x5,w1_q83x10,w1_q66x1,w1_q66x2,w1_q66x3,w1_q66x4,w1_q68x1,w1_q68x2,w1_q68x3,w2_q33,w2_q34x1,w2_q34x2,w2_q34x3,w2_q34x4,w2_q34x5,w2_q34x6,w2_q34x7,w2_q34x8,w2_q35R1,w2_q35R2,w2_q35R3,w2_q35R4,w2_q35R5,w2_q35R6,w2_q35R7,w2_q35R8,w2_q35R9,w2_q35R10,w2_q35R11,w2_q35R12,w2_q35R13,w2_q35R14,w2_q35R15,w2_q35R88,w2_q35R99,w2_q36,w2_q37x1,w2_q37x2,w2_q37x3,w2_q37x4,w2_q37x5,w2_q37x6,w2_q37x7,w2_q37x8,w2_q38R1,w2_q38R2,w2_q38R3,w2_q38R4,w2_q38R5,w2_q38R6,w2_q38R7,w2_q38R8,w2_q38R9,w2_q38R10,w2_q38R88,w2_q38R99,w2_q39x1,w2_q39x2,w2_q39x3,w2_q39x4,w2_q39x5,w2_q41,w2_q42x1,w2_q42x2,w2_q42x3,w2_q42x4,w2_q43R1,w2_q43R2,w2_q43R3,w2_q43R4,w2_q43R5,w2_q43R6,w2_q43R7,w2_q43R8,w2_q43R9,w2_q43R10,w2_q43R11,w2_q43R12,w2_q43R13,w2_q43R14,w2_q43R15,w2_q43R16,w2_q43R17,w2_q43R88,w2_q43R99,w2_q44,w2_q45,w2_q46,w2_q47,w2_q48,w2_q49,a_immigration_index,strategy
3378,1,51,9,5,1,20,2,,10000,,99999,6,,1,4,,,9,0,4,3,8,5,,8,,6,,6,,3,2,2,3,3,4,5,2,1,,1,3,1,2,2,5,2,2,3,4,1,2,3,3,1,2,4,4,2,2,2,3,4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,1
830,1,38,8,4,3,8,4,3,14000,13000,11000,12,6,12,4,,,6,5,6,6,2,3,6,0,4,,,1,2,2,0,1,2,3,3,5,4,1,4,4,2,1,3,3,3,1,1,1,3,3,1,3,3,1,2,4,4,3,3,4,4,4,3,4,3,3,2,3,9,8,8,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,8,3,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,3,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,2,1,2,4,4
61,2,26,7,5,3,4,2,,13000,,11000,1,,,,,,7,1,7,7,1,4,,8,,,,5,,1,3,4,2,2,1,4,2,1,4,2,3,1,3,3,3,4,3,2,3,2,2,4,4,2,3,5,5,2,2,2,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1
102,1,36,13,5,3,5,4,,10000,,22000,2,,9,7,,,4,5,7,7,0,8,,5,,9,,6,,3,3,4,3,3,4,4,1,1,,2,3,1,3,4,4,2,3,1,2,4,3,4,1,3,1,2,3,4,4,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1
3592,2,24,13,5,3,,3,3,11000,99999,,12,12,,3,,,5,5,1,3,10,2,6,8,5,6,,3,5,3,3,3,2,3,2,4,1,2,3,1,3,3,3,3,4,3,3,3,3,2,2,3,3,3,3,3,4,2,3,4,3,4,3,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,1,1,3,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,3,5
4743,2,79,7,5,3,3,2,2,10000,23000,10000,,1,1,3,,,10,5,5,5,2,5,,5,4,,,2,2,3,2,,1,2,1,4,2,1,3,1,4,1,1,,4,5,4,4,2,4,3,5,5,1,1,4,5,2,4,4,,4,,,4,2,3,8,3,8,8,8,9,8,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,1
80,1,72,7,5,3,4,4,4,11000,11000,,1,1,,3,1,3,10,7,2,3,7,,,3,1,,1,1,3,3,5,5,1,3,4,,4,2,,2,3,1,3,3,4,3,3,3,2,5,1,4,2,3,1,4,3,3,4,4,,4,3,4,4,3,5,3,2,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,2,8,3,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,4,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,3
1837,1,64,7,5,2,8,1,2,12000,11000,14000,1,1,1,2,1,1,10,7,0,2,5,2,1,10,4,1,,6,4,3,2,3,3,2,3,5,2,1,4,2,3,1,2,2,5,1,1,1,2,3,3,5,5,1,1,4,4,2,2,1,,2,2,3,2,1,4,3,9,9,9,8,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,1,1,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,1,1,4.5,2
3699,2,25,8,5,3,2,2,3,10000,13000,99999,6,6,6,2,,,6,7,1,3,8,2,,8,3,,,3,2,1,7,3,2,2,1,4,1,2,3,1,2,2,3,2,3,4,4,4,3,3,2,4,3,3,3,3,4,3,2,2,2,3,2,3,2,4,8,8,8,8,8,8,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,8,2,8,8,8,3,6,5,0,0,0,0,0,0,0,0,0,1,0,0,5,4,2,5,4,4,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,2,2,2,3.5,1
1132,2,65,6,5,2,,3,,11000,,10000,,,,8,,,0,5,7,,2,8,,8,,9,,4,,2,0,3,4,3,1,5,1,1,3,2,4,1,1,,5,1,2,1,5,2,4,3,4,2,3,4,4,2,2,4,3,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3
4102,2,28,13,5,3,,2,,12000,,10000,2,,1,5,1,2,10,8,2,4,6,3,,8,,1,,6,,3,2,4,2,2,1,4,1,2,4,2,3,1,3,3,5,3,3,2,4,2,2,4,4,2,2,3,4,3,2,2,3,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1
135,2,72,8,5,2,6,4,,11000,,21000,1,,9,4,,,6,5,8,7,4,,,0,,,12,1,,2,1,3,1,2,2,4,3,1,3,3,4,2,1,,5,4,3,3,3,3,3,3,4,2,3,4,3,4,4,4,,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,3
4566,2,52,9,5,1,12,1,,99999,,20000,6,,6,2,6,2,10,5,0,2,10,5,,9,,,,5,,1,5,3,3,2,1,4,1,2,4,2,3,3,3,2,4,3,3,3,4,2,1,4,5,1,2,5,4,2,2,2,2,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1
4309,1,72,9,4,1,20,3,2,11000,12000,10000,2,12,2,5,2,3,8,10,3,3,5,0,,10,4,2,,6,5,1,3,2,4,2,4,5,2,1,3,2,3,2,2,3,5,1,3,2,2,3,3,4,3,1,2,4,3,3,3,3,,3,3,4,3,2,8,7,8,8,8,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,4,7,4,8,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,5,3,3,3,5,4,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,,,,4,1
1859,2,73,4,5,2,10,3,,10000,,21000,1,,,3,1,3,10,5,0,3,10,2,,8,,1,,5,,1,5,3,2,2,1,5,1,1,4,2,4,1,3,3,4,2,2,2,2,4,2,5,4,1,1,3,4,3,3,4,,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3
58,2,71,4,5,2,4,4,3,11000,,11000,,,1,3,,,5,5,7,5,5,2,3,7,4,2,,4,3,2,3,1,1,3,1,4,1,1,2,2,2,1,1,4,3,3,4,2,1,5,2,5,4,1,1,4,1,4,4,4,,4,4,4,4,1,8,7,8,8,8,3,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,7,8,7,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,3
9,1,28,12,5,3,1,2,,11000,,10000,6,,1,3,6,2,8,6,2,2,10,5,,10,,6,,5,,1,7,3,1,2,4,4,1,2,4,1,2,2,3,1,4,3,4,3,2,3,1,4,3,1,3,4,5,2,1,1,1,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1
625,1,21,8,5,1,,3,,15000,,,1,,,5,,,1,0,0,0,0,2,,9,,12,,4,,1,6,4,2,3,3,1,1,3,5,3,4,3,4,1,2,5,4,5,2,3,1,4,1,1,1,2,4,1,3,4,4,4,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,4
831,1,44,9,4,,,2,1,11000,13000,,12,12,,5,,,5,5,5,5,3,,,2,1,,12,6,5,2,2,1,4,3,3,5,2,1,4,2,4,1,2,3,5,1,1,1,4,2,2,3,3,2,2,5,4,2,3,3,4,4,3,4,3,1,6,4,2,8,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,4,5,1,2,8,5,8,0,0,0,0,0,0,0,0,0,1,0,0,5,4,3,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4.5,1
6,1,29,8,5,3,1,2,2,11000,14000,13000,5,2,5,5,5,3,5,8,6,9,4,2,2,10,4,5,,7,6,3,4,4,2,3,4,3,4,3,4,3,3,2,4,2,4,4,3,2,2,3,2,3,2,2,3,2,4,2,3,2,3,4,2,2,2,3,2,3,1,8,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,8,8,8,8,1,2,8,0,0,0,0,0,0,0,1,0,0,0,0,4,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,1
767,1,68,7,5,,,1,1,21000,11000,99999,12,12,12,,,,5,5,7,6,3,,,8,4,,,4,4,2,3,3,5,2,4,,3,2,3,3,4,1,2,3,5,1,1,3,3,3,2,3,2,2,2,4,2,3,2,2,,4,3,4,3,1,7,7,7,,9,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,7,8,7,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4.5,1
4532,2,20,6,5,3,5,3,,10000,,20000,1,,6,0,6,3,8,5,0,,10,2,,5,,6,,2,,1,3,,2,1,1,4,1,2,,1,2,3,3,3,3,4,4,3,3,3,2,4,4,3,2,2,4,3,3,3,2,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
216,1,57,7,5,3,8,1,1,12000,17000,22000,2,12,9,5,3,3,2,7,10,6,1,9,3,10,4,3,,7,5,2,2,2,3,3,5,5,1,1,4,2,4,1,3,3,5,3,1,3,5,2,1,3,2,2,2,5,5,3,1,2,,2,3,3,2,1,4,3,3,8,2,5,7,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,8,3,9,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,4,4,5,1,5,5,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,2,,,,4,1
227,2,55,6,5,2,8,3,3,22000,,11000,12,,1,,1,2,10,5,3,0,4,10,1,10,4,,,2,4,3,2,2,2,3,1,5,2,2,,3,4,1,3,2,4,4,4,3,4,2,2,3,3,2,2,4,4,3,3,3,,4,2,3,3,4,8,1,8,8,8,8,8,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,1,8,8,5,8,8,8,8,0,0,0,0,0,0,0,0,1,0,0,0,1,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,3
3651,1,25,8,5,3,8,3,2,13000,,10000,6,,6,3,,,7,5,0,,10,,,7,2,6,,4,3,2,2,3,3,1,4,4,1,1,5,1,3,2,3,3,5,3,3,2,3,3,1,4,3,2,4,3,4,2,3,3,3,3,3,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,1,1,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,3.5,4
765,2,72,8,5,2,,1,2,11000,20000,20000,12,6,6,3,6,3,7,1,5,5,10,2,6,9,4,6,,6,6,2,0,3,3,2,2,4,1,1,4,1,2,4,3,2,3,3,3,2,4,2,1,4,5,1,2,4,4,2,2,2,,3,2,2,3,1,7,3,3,8,3,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,2,3,3,8,8,8,8,0,0,0,0,0,1,0,0,0,0,0,0,5,3,3,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2.5,1
53,2,65,7,5,3,3,3,,11000,,10000,12,,12,,,,7,2,,,5,,,0,,,,3,,3,2,2,1,2,1,3,1,1,,3,3,1,3,3,5,5,,4,1,5,3,4,2,3,2,3,3,4,4,4,,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3
269,2,53,4,5,3,9,3,3,11000,99999,10000,6,8,6,3,,,0,8,0,3,10,,,5,3,,,1,3,2,2,1,3,2,1,2,1,2,,1,1,3,4,3,3,4,3,4,3,3,2,2,3,2,3,3,3,3,4,4,,4,3,3,4,3,4,9,9,9,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,8,8,7,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2.5,4
328,1,68,7,5,2,11,3,3,11000,11000,10000,1,3,12,3,1,3,9,7,3,4,1,0,3,10,4,1,,4,5,2,2,1,4,2,3,3,2,1,2,3,3,3,4,3,5,1,1,1,3,3,2,3,4,2,1,4,2,4,3,3,,3,3,3,3,1,7,3,9,8,2,9,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,,,,,,,,,,,,,,,,,,,,,3,5,5,5,4,3,3,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,,,,2.5,3
766,2,65,6,5,2,,1,,11000,,10000,1,,12,,,,6,5,7,6,0,,,9,,,,4,,2,1,1,4,2,1,4,1,1,4,2,3,2,3,3,4,1,2,2,5,1,1,3,5,1,2,4,5,1,2,2,,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1
4642,2,21,8,5,3,2,3,,13000,,10000,6,,1,3,6,3,8,7,2,3,10,3,,7,,6,,5,,3,5,2,2,1,1,4,1,2,4,1,3,2,3,3,5,4,3,2,2,4,2,4,3,2,2,2,4,3,3,3,2,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,5
109,2,68,6,5,3,5,4,3,10000,10000,17000,12,3,12,6,3,3,2,5,8,6,3,,,5,1,3,,3,4,2,0,1,2,2,2,4,2,1,,2,4,1,1,3,5,4,3,3,1,5,4,4,3,2,2,3,3,4,4,4,,4,3,3,4,3,3,2,9,8,9,8,8,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,8,3,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,4,5,5,5,2,4,5,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,2,1,2,5,3
75,1,50,7,5,3,4,2,2,11000,11000,11000,1,1,1,3,1,3,10,3,3,3,3,,1,7,4,1,,4,4,3,3,2,1,3,5,,4,2,,3,4,1,1,2,5,4,4,3,3,3,2,2,2,3,2,4,4,4,3,4,,4,2,4,3,2,2,4,8,8,9,9,8,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,3,3,9,4,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,4,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,1
167,1,36,13,5,2,7,3,3,14000,10000,21000,3,1,3,4,9,3,7,7,6,7,2,9,1,8,4,9,,5,6,3,5,3,2,3,4,4,1,1,,3,2,1,4,3,4,3,4,3,2,4,3,4,2,2,2,3,3,3,4,3,4,4,3,4,3,2,5,7,8,8,8,9,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,8,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,,,,3.5,4
208,2,63,7,5,2,8,3,3,11000,,11000,1,,,3,1,3,7,5,3,5,1,,1,3,4,,1,3,3,3,3,4,2,3,2,5,2,1,4,1,2,1,3,3,4,5,5,4,4,2,2,4,4,1,2,4,4,3,3,3,,3,3,3,3,4,5,8,8,3,8,2,8,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,8,8,3,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,3
4055,2,28,9,5,3,5,1,3,13000,13000,10000,1,6,1,3,1,3,9,8,0,3,7,5,6,8,4,1,,4,3,1,5,3,2,1,1,5,1,1,3,2,3,2,3,3,4,4,4,4,4,2,2,3,4,1,2,4,4,2,2,2,2,3,3,3,2,2,3,2,9,8,2,8,8,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2,3,9,4,8,8,9,9,0,0,0,0,0,0,0,0,0,1,0,0,5,4,5,5,4,3,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,1,2,3.5,1
